unique_id,title_2017,title_2018
a343ebed-943d-463d-b8e9-344e2ba32994,A Compositional Object-Based Approach to Learning Physical Dynamics,Learning Discrete Weights Using the Local Reparameterization Trick
ca6cdd48-6ea2-43e4-887d-0977b175eb1d,A Compositional Object-Based Approach to Learning Physical Dynamics,Learn to Pay Attention
d4107063-cce5-4447-a388-c3c4e8082c46,A Compositional Object-Based Approach to Learning Physical Dynamics,Relational Neural Expectation Maximization: Unsupervised Discovery of Objects and their Interactions
c9f45709-14be-46da-9382-30b9f1d170fc,A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games,On the importance of single directions for generalization
2be45593-3e8b-4782-a109-f77822dac56f,A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning
00ed430b-c5d9-47e3-85db-34f03f499c79,A Deep Learning Approach for Joint Video Frame and Reward Prediction in Atari Games,A Scalable Laplace Approximation for Neural Networks
87a6f30e-5993-4142-9dbc-cae5e58968ec,A Neural Stochastic Volatility Model,Multiscale Hidden Markov Models For Covariance Prediction
531ecee8-62a9-49fd-ac4b-8b979639b1b3,A Neural Stochastic Volatility Model,Long-term Forecasting using Tensor-Train RNNs
7b4e4861-d19a-4e34-acfa-c666af03dff3,A Neural Stochastic Volatility Model,Principled Hybrids of Generative and Discriminative Domain Adaptation
5939a988-37ef-42aa-9f2e-369b5154e926,A hybrid network: Scattering and Convnet,Neumann Optimizer: A Practical Optimization Algorithm for Deep Neural Networks
cb9b3109-8af1-4d1b-9bf2-985dbff3a6e9,A hybrid network: Scattering and Convnet,Emergent Communication through Negotiation
ac6de085-da15-42d7-8f41-b71dd6182426,A hybrid network: Scattering and Convnet,Adaptive Dropout with Rademacher Complexity Regularization
13b6563e-b676-4c89-ba5d-a169a43adaeb,Adversarial examples in the physical world,YellowFin and the Art of Momentum Tuning
f1a4b891-3020-44c0-a16f-a8014fe3db79,Adversarial examples in the physical world,Intriguing Properties of Adversarial Examples
8fd89a6d-68ca-4180-ac45-22e8215e0ba0,Adversarial examples in the physical world,Recurrent Auto-Encoder Model for Multidimensional Time Series Representation
e83ee2cf-6c5e-4e7a-a35e-efef50414ae9,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,Efficient Sparse-Winograd Convolutional Neural Networks
9896a766-c779-4d3c-b7c7-0f433320d073,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,Semi-supervised Outlier Detection using Generative And Adversary Framework
dd44497c-907a-40da-97e7-e42f3bea1dbd,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,Long Term Memory Network for Combinatorial Optimization Problems
