,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM,"Improvement .3 , 5 matches",Improvement 20 match .3,Improvement 20 match .18,Improvement 100 match .3 cosiine,Improvement 100 match .18 cosine
deep_learning,0.634693878,0.184412733,0.482007993,0.934177753,0.4696145,0.974287785,-0.040110031,0.450281144,-0.037217736,-0.030218806,-0.089366276,-0.542556437,-0.5962744
reinforcement_learning,0.095918367,0.098792536,0.294780209,-0.009750208,-0.016705029,-0.056669437,-0.046919229,-0.002874168,-0.0569019,-0.085114674,-0.024471347,-0.004647345,-0.0558639
unsupervised_learning,0.17755102,0.037321625,0.382524873,0.366588961,0.146468314,0.382898797,-0.016309836,0.140229396,-0.018013934,-0.020825689,-0.013700578,-0.199382978,-0.1840387
natural_language_processing,0.179591837,0.027442371,0.384239398,0.395975703,0.158491388,0.412480836,-0.016505133,0.152149466,-0.01337683,-0.026375282,-0.035755858,-0.204656052,-0.1952623
optimization,0.097959184,0.027442371,0.297563243,0.236980925,0.041588465,0.139763447,0.097217478,0.070516813,0.107524495,0.091348609,0.041607368,-0.045942133,-0.1290034
computer_vision,0.157142857,0.017563117,0.364307338,0.383137327,0.153371795,0.420995624,-0.037858296,0.13957974,-0.035817176,-0.022997445,-0.034243643,-0.189333601,-0.1962544
supervised_learning,0.134693878,0.005488474,0.341745202,0.378075251,0.297042163,0.869191904,-0.491116653,0.129205403,-0.492688035,-0.492632233,-0.486666363,-0.859917657,-0.8328515
applications,0.142857143,0.003293085,0.350284722,0.398430333,0.150334823,0.429178932,-0.030748599,0.139564058,-0.030488796,-0.031653862,-0.029617429,-0.18263417,-0.1774142
transfer_learning,0.048979592,0.018660812,0.21604594,0.140334873,0.036797882,0.170324339,-0.029989466,0.03031878,-0.026577486,-0.012366056,-0.034697723,-0.092816606,-0.132905
theory,0.065306122,0.007683864,0.247317734,0.232988786,0.042000908,0.169825702,0.063163084,0.057622259,0.075239012,0.101718102,0.058009536,-0.007507094,-0.0355984
semi_supervised_learning,0.044897959,0.009879254,0.207291645,0.168934477,0.038668373,0.186540914,-0.017606436,0.035018706,-0.014972321,-0.015285113,-0.024689238,-0.094466549,-0.1036056
structured_prediction,0.042857143,0.006586169,0.202741941,0.178902173,0.039517165,0.194913619,-0.016011446,0.036270974,-0.014215961,-0.016388794,-0.020211278,-0.092690352,-0.0975413
,,,,,,sum,-0.582794564,,-0.557506668,-0.560791244,-0.69380283,-2.516550974,-2.7366131
,,,,,,avage,-0.048566214,,-0.046458889,-0.046732604,-0.057816902,-0.209712581,-0.228051092
