,z_2017,z_2018,sd_2017,SDM_SD_17_18,WDM,WSDM,Improvement,DM
deep_learning,0.6346938775510204,0.18441273326015367,0.4820079933864291,0.9341777532097341,0.7120934769075906,1.477347858703871,-0.543170105494137,0.4502811442908667
reinforcement_learning,0.09591836734693877,0.09879253567508232,0.29478020904665575,-0.009750207917413638,0.0020238153445609197,0.006865506171890272,0.002884701745523366,-0.0028741683281435504
unsupervised_learning,0.17755102040816326,0.03732162458836443,0.3825248731490404,0.3665889610403511,0.21889556655284897,0.5722387795356834,-0.20564981849533226,0.14022939581979882
natural_language_processing,0.17959183673469387,0.027442371020856202,0.38423939785197725,0.3959757030757452,0.22443256417821744,0.5840956586775542,-0.188119955601809,0.15214946571383767
optimization,0.09795918367346938,0.027442371020856202,0.29756324338062,0.2369809249673136,0.08016850115407131,0.2694166801089943,-0.03243575514168068,0.07051681265261318
computer_vision,0.15714285714285714,0.01756311745334797,0.364307337835541,0.3831373271776359,0.20483060068481482,0.5622467060415932,-0.17910937886395734,0.13957973968950918
supervised_learning,0.1346938775510204,0.005488474204171241,0.3417452024506312,0.37807525144559795,0.42755394863286783,1.2510898340837209,-0.8730145826381229,0.12920540334684918
applications,0.14285714285714285,0.003293084522502744,0.3502847220520306,0.39843033266495004,0.20440738683665355,0.5835463951701876,-0.18511606250523754,0.1395640583346401
transfer_learning,0.04897959183673469,0.018660812294182216,0.21604594014563608,0.14033487286136762,0.05187161779253348,0.24009531379097862,-0.099760440929611,0.030318779542552476
theory,0.0653061224489796,0.007683863885839737,0.24731773393073034,0.23298878591245267,0.06438233039164147,0.2603223366492348,-0.027333550736782147,0.057622258563139864
semi_supervised_learning,0.044897959183673466,0.009879253567508232,0.20729164471149505,0.1689344771464555,0.05467274149108928,0.2637479265851832,-0.09481344943872771,0.035018705616165234
structured_prediction,0.04285714285714286,0.006586169045005488,0.2027419406006756,0.17890217339675846,0.054684868580642934,0.2697264730653402,-0.09082429966858174,0.03627097381213737
